Eerste letter ConT: starten het bericht en geven aan welk type het is. Daarna gescheiden met een komma de volgende data
Einde string is /n/t

•	Tijd [s]
•	Positie X [m]
•	Positie Y [m]
•	Angle Roll [rad]
•	Angle Pitch [rad]
•	Angle Yaw [rad]
•	Velocity X [m/s]
•	Velocity Y [m/s]
•	Angular velocity Roll [rad/s]
•	Angular velocity Pitch [rad/s]
•	Angular velocity Yaw [rad/s]
•	Output torque on ball Roll direction [N]
•	Output torque on ball Pitch direction [N]
•	Output torque on ball Yaw direction [N]


ConT:4.83,-0.00,0.00,0.018,-0.010,0.00,-0.00,0.00,0.04,0.01,-0.00,1.54,-0.38,-0.00
ConT:4.84,-0.00,0.00,0.019,-0.010,0.00,-0.00,0.00,0.04,0.01,-0.00,1.53,-0.37,-0.00
ConT:4.85,-0.00,0.00,0.019,-0.010,0.00,-0.00,0.00,0.04,0.01,-0.01,1.54,-0.40,-0.00
ConT:4.86,-0.00,0.00,0.020,-0.010,0.00,-0.00,0.00,0.04,0.01,-0.01,1.56,-0.36,-0.00
ConT:4.87,-0.00,0.00,0.020,-0.010,0.00,-0.00,0.00,0.04,0.01,-0.01,1.57,-0.41,-0.00
ConT:4.88,-0.00,0.00,0.020,-0.010,-0.00,-0.00,0.00,0.04,0.01,-0.01,1.56,-0.41,-0.00
ConT:4.89,-0.00,0.00,0.021,-0.010,-0.00,-0.00,0.00,0.03,0.01,-0.00,1.51,-0.41,-0.00
ConT:4.90,-0.00,0.00,0.021,-0.010,-0.00,-0.00,0.00,0.03,0.01,-0.00,1.54,-0.42,-0.00
ConT:4.91,-0.00,0.00,0.021,-0.010,-0.00,-0.00,0.00,0.03,0.01,-0.00,1.54,-0.40,-0.00
ConT:4.92,-0.00,0.00,0.021,-0.010,-0.00,-0.00,0.00,0.03,0.01,-0.00,1.53,-0.42,-0.00
ConT:4.93,-0.00,0.00,0.022,-0.010,-0.00,-0.00,0.00,0.03,0.00,-0.00,1.53,-0.43,-0.00
ConT:4.94,-0.00,0.00,0.022,-0.010,-0.00,-0.00,0.00,0.03,0.01,-0.00,1.52,-0.39,-0.00
ConT:4.95,-0.00,0.00,0.022,-0.010,-0.00,-0.00,0.00,0.03,0.01,-0.00,1.54,-0.39,-0.00
ConT:4.96,-0.00,0.00,0.022,-0.010,-0.00,-0.00,0.00,0.03,0.01,-0.00,1.52,-0.40,-0.00
ConT:4.97,-0.00,0.00,0.023,-0.010,-0.00,-0.00,0.00,0.03,0.00,-0.00,1.52,-0.45,-0.00
ConT:4.98,-0.00,0.00,0.023,-0.010,-0.00,-0.00,0.00,0.02,0.01,-0.01,1.45,-0.37,-0.00
ConT:4.99,-0.00,0.00,0.023,-0.010,-0.00,-0.00,0.00,0.02,0.01,-0.01,1.43,-0.40,-0.00
ConT:5.00,-0.00,0.00,0.023,-0.010,-0.00,-0.00,0.00,0.02,0.01,-0.01,1.42,-0.39,-0.00
ConT:5.01,-0.00,0.00,0.023,-0.010,-0.00,-0.00,0.00,0.01,0.01,-0.00,1.38,-0.40,-0.00
ConT:5.02,-0.00,0.00,0.023,-0.010,-0.00,-0.00,0.00,0.01,0.01,-0.00,1.39,-0.37,-0.00
ConT:5.03,-0.00,0.00,0.024,-0.010,-0.00,-0.00,0.00,0.01,0.01,-0.00,1.36,-0.34,-0.00
ConT:5.04,-0.00,0.00,0.024,-0.010,-0.00,-0.00,0.00,0.01,0.01,-0.01,1.35,-0.33,-0.00
ConT:5.05,-0.00,0.00,0.024,-0.009,-0.00,-0.00,0.00,0.01,0.01,-0.01,1.33,-0.32,-0.00
